zona,region,inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,dosis_total,primera_dosis,segunda_dosis,dosis_unica,dosis_refuerzo,lat,lng,created_at
6,sierra,01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,48526,25002,20413,2018,1093,-3.050000000000000,-79.73333300000000,01/01/2022
6,sierra,01,Azuay,881394,0111,Chordeleg,15176,20791,10295,9198,288,1010,-2.933333000000000,-78.76666700000000,01/01/2022
6,sierra,01,Azuay,881394,0101,Cuenca,636996,1083199,519294,492699,10146,61060,-2.897414000000000,-79.00448100000000,01/01/2022
6,sierra,01,Azuay,881394,0112,El Pan,3091,4642,2010,2049,39,544,-2.786111000000000,-78.66500000000001,01/01/2022
6,sierra,01,Azuay,881394,0102,Girón,13037,23194,11952,10015,123,1104,-3.159028000000000,-79.14756800000001,01/01/2022
6,sierra,01,Azuay,881394,0114,Guachapala,3859,5224,2343,2355,21,505,-2.769000000000000,-78.70900000000000,01/01/2022
6,sierra,01,Azuay,881394,0103,Gualaceo,49104,75963,37412,33704,1157,3690,-2.900000000000000,-78.78333300000000,01/01/2022
6,sierra,01,Azuay,881394,0104,Nabón,17292,24766,12375,10516,340,1535,-3.336060000000000,-79.06368000000001,01/01/2022
6,sierra,01,Azuay,881394,0110,Oña,4128,6358,2801,3050,89,418,-3.469640000000000,-79.15431000000000,01/01/2022
6,sierra,01,Azuay,881394,0105,Paute,29214,54280,26683,24353,395,2849,-2.781800000000000,-78.76000000000001,01/01/2022
6,sierra,01,Azuay,881394,0106,Pucará,10584,14598,7291,6469,144,694,-3.233780000000000,-79.46120000000001,01/01/2022
6,sierra,01,Azuay,881394,0107,San Fernando,4156,7103,3355,3287,6,455,-3.144500000000000,-79.25200000000000,01/01/2022
6,sierra,01,Azuay,881394,0108,Santa Isabel,20935,44175,22152,19178,762,2083,-3.274170000000000,-79.31560000000000,01/01/2022
6,sierra,01,Azuay,881394,0113,Sevilla de Oro,6890,6955,3217,3165,35,538,-2.799833000000000,-78.65569400000000,01/01/2022
6,sierra,01,Azuay,881394,0109,Sígsig,30509,44429,22294,19232,539,2364,-3.089700000000000,-78.80320000000000,01/01/2022
3,sierra,02,Bolívar,209933,0206,Caluma,16429,26860,14016,10921,391,1532,-1.633330000000000,-79.25000000000000,01/01/2022
3,sierra,02,Bolívar,209933,0202,Chillanes,16850,34968,17197,14750,1567,1454,-1.933333000000000,-79.06666700000000,01/01/2022
3,sierra,02,Bolívar,209933,0203,Chimbo,17378,24398,11142,10524,954,1778,-1.700000000000000,-79.01666700000000,01/01/2022
3,sierra,02,Bolívar,209933,0204,Echeandía,14081,26890,13391,11288,706,1505,-1.433330000000000,-79.26667000000000,01/01/2022
3,sierra,02,Bolívar,209933,0201,Guaranda,108763,160842,85554,66726,831,7731,-1.605556000000000,-79.00305600000000,01/01/2022
3,sierra,02,Bolívar,209933,0207,Las Naves,7428,12159,6586,4943,100,530,-1.283330000000000,-79.30000000000000,01/01/2022
3,sierra,02,Bolívar,209933,0205,San Miguel,29004,51192,23195,21859,2219,3919,-1.700000000000000,-79.03333300000000,01/01/2022
6,sierra,03,Cañar,281396,0301,Azogues,86276,150898,75119,65659,1406,8714,-2.733333000000000,-78.83333300000000,01/01/2022
6,sierra,03,Cañar,281396,0302,Biblían,23741,24175,11083,10891,390,1811,-2.710000000000000,-78.88000000000000,01/01/2022
6,sierra,03,Cañar,281396,0303,Cañar,68747,84055,40157,36991,1295,5612,-2.483700000000000,-78.97839999999999,01/01/2022
6,sierra,03,Cañar,281396,0306,Déleg,6782,9895,4290,4683,72,850,-2.772600000000000,-78.91830000000000,01/01/2022
6,sierra,03,Cañar,281396,0305,El Tambo,12462,18749,9160,8499,213,877,-2.508100000000000,-78.92489999999999,01/01/2022
6,sierra,03,Cañar,281396,0304,La Troncal,76872,92206,46485,38193,4839,2689,-2.400000000000000,-79.33000000000000,01/01/2022
6,sierra,03,Cañar,281396,0307,Suscal,6516,9795,4943,4244,278,330,-2.436400000000000,-79.05220000000000,01/01/2022
1,sierra,04,Carchi,186869,0402,Bolivar,15528,25825,12552,11757,425,1091,0.5070990000000000,-77.86245400000000,01/01/2022
1,sierra,04,Carchi,186869,0403,Espejo,13817,27956,13075,12595,444,1842,0.6210000000000000,-77.94000000000000,01/01/2022
1,sierra,04,Carchi,186869,0404,Mira,11969,30666,15470,13291,339,1566,0.5538999999999999,-78.04930000000000,01/01/2022
1,sierra,04,Carchi,186869,0405,Montúfar,34229,56176,27220,25183,959,2814,0.6100000000000000,-77.84000000000000,01/01/2022
1,sierra,04,Carchi,186869,0406,San Pedro de Huaca,8931,18256,9085,8317,211,643,0.6311110000000000,-77.72527800000000,01/01/2022
1,sierra,04,Carchi,186869,0401,Tulcán,102395,187002,96799,78159,5022,7022,0.8121800000000000,-77.71633000000000,01/01/2022
3,sierra,06,Chimborazo,524004,0602,Alausí,45054,55426,29025,21970,837,3594,-2.200000000000000,-78.84999999999999,01/01/2022
3,sierra,06,Chimborazo,524004,0604,Chambo,13378,20526,9537,9794,383,812,-1.733333000000000,-78.58333300000000,01/01/2022
3,sierra,06,Chimborazo,524004,0605,Chunchi,12795,19194,9564,8218,232,1180,-2.283333000000000,-78.91666700000000,01/01/2022
3,sierra,06,Chimborazo,524004,0603,Colta,44838,51485,25694,22200,1488,2103,-1.700000000000000,-78.75000000000000,01/01/2022
3,sierra,06,Chimborazo,524004,0610,Cumandá,17973,28669,14196,12815,842,816,-2.200000000000000,-79.13333299999999,01/01/2022
3,sierra,06,Chimborazo,524004,0606,Guamote,58291,46706,25723,17793,2067,1123,-1.933333000000000,-78.71666700000000,01/01/2022
3,sierra,06,Chimborazo,524004,0607,Guano,48395,65431,32337,28178,650,4266,-1.583333000000000,-78.63333299999999,01/01/2022
3,sierra,06,Chimborazo,524004,0608,Pallatanga,12277,19048,9404,7839,610,1195,-1.983333000000000,-78.95000000000000,01/01/2022
3,sierra,06,Chimborazo,524004,0609,Penipe,6955,17639,8013,7992,178,1456,-1.557300000000000,-78.53959999999999,01/01/2022
3,sierra,06,Chimborazo,524004,0601,Riobamba,264048,468763,231819,205927,6804,24213,-1.674347000000000,-78.64829400000001,01/01/2022
3,sierra,05,Cotopaxi,488716,0502,La Maná,56905,75844,39654,30989,3090,2111,-0.9300000000000000,-79.22000000000000,01/01/2022
3,sierra,05,Cotopaxi,488716,0501,Latacunga,205624,366770,176086,156666,15911,18107,-0.9333330000000000,-78.61666700000001,01/01/2022
3,sierra,05,Cotopaxi,488716,0503,Pangua,24612,35917,18187,15657,770,1303,-1.133333000000000,-79.06666700000000,01/01/2022
3,sierra,05,Cotopaxi,488716,0504,Pujilí,79772,104057,51902,45247,2334,4574,-0.9500000000000000,-78.69000000000000,01/01/2022
3,sierra,05,Cotopaxi,488716,0505,Salcedo,67100,123741,59023,55040,3391,6287,-1.050000000000000,-78.58333300000000,01/01/2022
