provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,9,12,19,22,29,33,43,51,55,63,66,72
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,6,8,11,16,19,24,31,42,54,59,67,73
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,277,517,784,1079,1372,1667,2058,2563,2965,3320,3664,3986
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,5,5,6,7,8,9,10,12,14,17,18,18
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,5,12,21,26,31,40,45,55,69,80,86,100
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,1,4,4,5,6,7,7,9,10,13,15,15
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,19,36,52,69,85,108,136,170,211,247,261,283
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,6,11,18,24,30,36,39,47,60,69,74,77
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,2,7,10,12,16,16,18,22,28,31,32,35
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,8,20,37,42,52,56,64,79,89,104,118,131
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,4,5,9,10,17,19,22,23,29,31,39,42
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,1,2,4,7,9,9,11,18,21,22,23,26
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,7,18,21,26,32,47,58,70,80,90,97,107
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,2,4,5,8,10,11,16,18,22,24,26,27
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,12,28,46,54,65,80,93,110,121,140,152,162
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,5,9,13,25,33,40,51,59,66,73,79,89
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,7,19,26,34,41,50,56,65,74,77,81,92
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,6,12,17,29,37,42,44,49,58,63,67,75
Bolívar,209933,Echeandía,14081,-1.433330000000000,-79.26667000000000,3,8,11,17,23,33,37,51,54,57,62,67
Bolívar,209933,Guaranda,108763,-1.605556000000000,-79.00305600000000,32,75,112,178,232,288,362,421,458,497,544,596
Bolívar,209933,Las Naves,7428,-1.283330000000000,-79.30000000000000,0,2,4,7,8,10,13,16,17,19,21,25
Bolívar,209933,San Miguel,29004,-1.700000000000000,-79.03333300000000,10,23,32,47,66,79,97,113,127,141,151,164
Carchi,186869,Bolivar,15528,0.5070990000000000,-77.86245400000000,4,4,7,12,18,27,37,42,49,53,56,65
Carchi,186869,Espejo,13817,0.6210000000000000,-77.94000000000000,5,8,12,16,23,30,38,46,52,58,64,73
Carchi,186869,Mira,11969,0.5538999999999999,-78.04930000000000,6,11,15,19,25,30,37,48,55,60,66,69
Carchi,186869,Montúfar,34229,0.6100000000000000,-77.84000000000000,11,20,31,40,49,63,82,92,110,117,127,145
Carchi,186869,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,1,1,3,6,8,12,13,15,16,20,23,26
Carchi,186869,Tulcán,102395,0.8121800000000000,-77.71633000000000,30,70,104,135,174,209,273,375,451,501,536,594
Cañar,281396,Azogues,86276,-2.733333000000000,-78.83333300000000,48,85,113,174,223,262,353,452,518,579,630,699
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,11,16,24,33,38,52,61,69,78,100,107,116
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,24,38,68,87,101,121,139,166,203,237,264,288
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,0,3,4,8,11,13,16,18,20,23,25,26
