inec_provincia_id,provincia,poblacion,total,acumuladas,lat,lng,mes
01,Azuay,881394,364,364,-2.897414000000000,-79.00448100000000,1
02,Bolívar,209933,63,63,-1.605556000000000,-79.00305600000000,1
04,Carchi,186869,57,57,0.8121800000000000,-77.71633000000000,1
03,Cañar,281396,108,108,-2.733333000000000,-78.83333300000000,1
06,Chimborazo,524004,219,219,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,488716,138,138,-0.9333330000000000,-78.61666700000001,1
07,El Oro,715751,305,305,-3.266667000000000,-79.96666700000000,1
08,Esmeraldas,591083,134,134,1.050000000000000,-79.20000000000000,1
20,Galápagos,33042,5,5,-0.7999999999999999,-89.40000000000001,1
09,Guayas,4387434,1971,1971,-2.183333000000000,-79.88333299999999,1
10,Imbabura,476257,187,187,0.3626780000000000,-78.13066700000000,1
11,Loja,521154,218,218,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,921763,301,301,-1.800000000000000,-79.53333300000000,1
13,Manabí,1562079,626,626,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,196535,49,49,-2.300000000000000,-78.11666700000001,1
15,Napo,133705,35,35,-0.9890000000000000,-77.81590000000000,1
22,Orellana,161338,42,42,-0.4666670000000000,-76.96666700000000,1
16,Pastaza,114202,34,34,-1.066667000000000,-78.00111099999999,1
17,Pichincha,3228233,1212,1212,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,401178,116,116,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,511151,206,206,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,230503,60,60,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,590600,254,254,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,120416,26,26,-4.120000000000000,-78.80000000000000,1
01,Azuay,881394,325,689,-2.897414000000000,-79.00448100000000,2
02,Bolívar,209933,85,148,-1.605556000000000,-79.00305600000000,2
04,Carchi,186869,57,114,0.8121800000000000,-77.71633000000000,2
03,Cañar,281396,77,185,-2.733333000000000,-78.83333300000000,2
06,Chimborazo,524004,189,408,-1.674347000000000,-78.64829400000001,2
05,Cotopaxi,488716,158,296,-0.9333330000000000,-78.61666700000001,2
07,El Oro,715751,228,533,-3.266667000000000,-79.96666700000000,2
08,Esmeraldas,591083,158,292,1.050000000000000,-79.20000000000000,2
20,Galápagos,33042,4,9,-0.7999999999999999,-89.40000000000001,2
09,Guayas,4387434,1733,3704,-2.183333000000000,-79.88333299999999,2
10,Imbabura,476257,156,343,0.3626780000000000,-78.13066700000000,2
11,Loja,521154,173,391,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,921763,287,588,-1.800000000000000,-79.53333300000000,2
13,Manabí,1562079,543,1169,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,196535,48,97,-2.300000000000000,-78.11666700000001,2
15,Napo,133705,31,66,-0.9890000000000000,-77.81590000000000,2
22,Orellana,161338,29,71,-0.4666670000000000,-76.96666700000000,2
16,Pastaza,114202,34,68,-1.066667000000000,-78.00111099999999,2
17,Pichincha,3228233,1148,2360,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,401178,117,233,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,511151,202,408,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,230503,52,112,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,590600,236,490,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,120416,25,51,-4.120000000000000,-78.80000000000000,2
01,Azuay,881394,360,1049,-2.897414000000000,-79.00448100000000,3
02,Bolívar,209933,68,216,-1.605556000000000,-79.00305600000000,3
04,Carchi,186869,58,172,0.8121800000000000,-77.71633000000000,3
03,Cañar,281396,104,289,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,524004,230,638,-1.674347000000000,-78.64829400000001,3
05,Cotopaxi,488716,166,462,-0.9333330000000000,-78.61666700000001,3
07,El Oro,715751,326,859,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,591083,128,420,1.050000000000000,-79.20000000000000,3
20,Galápagos,33042,3,12,-0.7999999999999999,-89.40000000000001,3
09,Guayas,4387434,5462,9166,-2.183333000000000,-79.88333299999999,3
10,Imbabura,476257,147,490,0.3626780000000000,-78.13066700000000,3
11,Loja,521154,190,581,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,921763,363,951,-1.800000000000000,-79.53333300000000,3
13,Manabí,1562079,625,1794,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,196535,48,145,-2.300000000000000,-78.11666700000001,3
15,Napo,133705,15,81,-0.9890000000000000,-77.81590000000000,3
22,Orellana,161338,33,104,-0.4666670000000000,-76.96666700000000,3
16,Pastaza,114202,25,93,-1.066667000000000,-78.00111099999999,3
17,Pichincha,3228233,1131,3491,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,401178,179,412,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,511151,190,598,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,230503,52,164,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,590600,227,717,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,120416,23,74,-4.120000000000000,-78.80000000000000,3
01,Azuay,881394,364,1413,-2.897414000000000,-79.00448100000000,4
02,Bolívar,209933,122,338,-1.605556000000000,-79.00305600000000,4
04,Carchi,186869,56,228,0.8121800000000000,-77.71633000000000,4
03,Cañar,281396,181,470,-2.733333000000000,-78.83333300000000,4
06,Chimborazo,524004,372,1010,-1.674347000000000,-78.64829400000001,4
05,Cotopaxi,488716,186,648,-0.9333330000000000,-78.61666700000001,4
07,El Oro,715751,720,1579,-3.266667000000000,-79.96666700000000,4
08,Esmeraldas,591083,227,647,1.050000000000000,-79.20000000000000,4
20,Galápagos,33042,3,15,-0.7999999999999999,-89.40000000000001,4
