provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29
Azuay,881394,-2.897414000000000,-79.00448100000000,109,125,114,107,115,121,110,132,106,111,126,134,115,126,140,147,160,153,149,127,102,105,127,110,103,107,106,83,6
Bolívar,209933,-1.605556000000000,-79.00305600000000,20,40,27,16,24,17,30,23,24,29,41,34,36,40,38,24,33,31,18,24,29,19,18,11,21,19,23,10,0
Carchi,186869,0.8121800000000000,-77.71633000000000,28,38,35,34,20,19,15,19,12,23,28,23,17,29,15,23,38,33,19,20,26,22,22,30,23,22,26,19,2
Cañar,281396,-2.733333000000000,-78.83333300000000,32,38,32,24,42,33,30,27,34,45,37,41,28,39,40,34,31,30,37,42,30,24,22,32,25,20,27,24,1
Chimborazo,524004,-1.674347000000000,-78.64829400000001,85,66,77,64,65,74,59,66,73,74,72,82,76,85,87,99,82,105,87,67,75,76,52,70,56,55,51,54,6
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,58,70,55,68,72,74,64,62,58,50,66,70,59,69,81,74,74,68,77,68,65,59,58,50,57,51,46,43,1
El Oro,715751,-3.266667000000000,-79.96666700000000,81,101,104,115,120,114,111,120,99,104,117,124,141,157,142,187,170,144,125,104,94,109,88,80,76,90,57,73,3
Esmeraldas,591083,1.050000000000000,-79.20000000000000,32,37,49,41,45,43,51,51,56,61,72,76,64,56,69,69,48,65,62,42,39,42,42,43,46,34,34,29,2
Galápagos,33042,-0.8000000000000000,-89.40000000000001,4,2,5,0,1,1,2,2,4,3,2,2,1,1,2,2,4,1,1,2,0,0,2,2,0,0,1,1,0
Guayas,4387434,-2.183333000000000,-79.88333299999999,554,625,623,628,570,619,638,633,623,679,714,775,800,882,893,901,838,791,648,628,556,501,506,524,521,493,496,449,56
Imbabura,476257,0.3626780000000000,-78.13066700000000,60,57,61,73,66,62,51,58,46,50,51,64,73,52,83,85,101,81,103,65,69,58,70,52,53,45,60,38,3
Loja,521154,-3.983333000000000,-79.20000000000000,50,52,66,62,74,74,81,56,78,88,118,107,125,109,132,124,118,91,83,61,67,60,69,48,66,38,46,34,3
Los Ríos,921763,-1.800000000000000,-79.53333300000000,92,99,109,99,121,106,115,126,128,142,107,129,160,162,151,153,143,135,126,115,109,106,87,86,82,65,115,65,10
Manabí,1562079,-1.056181000000000,-80.45521700000000,152,176,186,175,217,193,217,234,208,235,304,264,295,291,274,264,229,226,185,189,163,167,153,135,156,129,142,108,15
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,12,9,13,15,10,22,7,8,13,15,8,15,16,13,18,13,13,10,12,16,13,10,7,18,10,13,9,4,1
Napo,133705,-0.9890000000000000,-77.81590000000000,14,6,15,16,4,9,17,11,10,15,11,10,10,13,14,12,11,9,11,16,13,15,14,11,8,12,14,9,0
Orellana,161338,-0.4666670000000000,-76.96666700000000,11,11,11,8,13,10,13,8,10,9,19,12,13,14,12,9,20,18,16,7,8,8,11,10,9,11,5,9,1
Pastaza,114202,-1.066667000000000,-78.00111099999999,2,8,13,13,7,5,6,11,8,13,14,10,6,9,12,9,16,21,11,12,11,7,12,6,7,8,6,9,0
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,374,392,469,436,419,406,407,393,412,424,426,454,510,525,571,640,614,565,515,515,464,402,383,375,379,381,373,380,51
Santa Elena,401178,-2.226700000000000,-80.85830000000000,38,42,45,41,38,29,33,30,44,31,51,53,48,62,71,69,44,41,37,29,41,32,34,31,27,32,26,31,2
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,56,64,52,51,63,58,68,78,72,86,96,79,107,119,81,113,87,75,78,77,56,51,58,56,50,46,45,33,3
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,18,23,19,15,14,13,21,27,16,19,31,30,23,27,29,28,22,28,23,27,15,5,14,18,15,7,11,14,0
Tungurahua,590600,-1.241667000000000,-78.61972200000000,105,96,135,81,95,89,84,83,67,86,85,83,85,108,132,136,143,147,119,92,102,77,90,80,74,73,67,47,8
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,7,12,7,4,8,8,12,8,4,9,11,8,14,27,19,21,18,14,11,8,12,5,4,8,1,4,5,0,0
