inec_provincia_id,provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,881394,-2.897414000000000,-79.00448100000000,505,479,526,599,599,483,480,395,325,360,291,269
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,110,94,149,145,111,76,84,87,79,72,70,58
04,Carchi,186869,0.8121800000000000,-77.71633000000000,151,73,96,105,113,103,99,78,67,69,56,42
03,Cañar,281396,-2.733333000000000,-78.83333300000000,139,132,170,153,156,114,134,111,97,91,77,65
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,317,266,335,379,369,281,276,228,181,193,180,158
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,279,273,265,311,318,236,212,179,155,144,156,112
07,El Oro,715751,-3.266667000000000,-79.96666700000000,443,465,498,710,537,380,329,342,312,264,272,264
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,176,195,297,279,244,191,183,164,171,151,153,111
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,12,6,12,9,6,4,4,7,5,2,1,2
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,2664,2461,3152,3739,2954,2187,2135,1913,1981,1942,2010,1744
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,274,237,250,328,360,241,230,188,194,166,194,144
11,Loja,521154,-3.983333000000000,-79.20000000000000,250,287,457,516,348,257,232,230,222,216,209,155
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,441,471,593,662,541,382,390,369,337,363,353,275
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,774,868,1147,1188,856,684,581,627,544,592,636,546
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,57,48,61,60,57,53,44,66,34,33,35,56
15,Napo,133705,-0.9890000000000000,-77.81590000000000,57,41,51,50,59,45,52,31,46,34,45,37
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,46,44,56,58,56,50,52,37,41,62,51,26
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,42,29,47,46,60,35,35,33,27,35,25,17
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1829,1626,1935,2482,2278,1648,1684,1307,1174,1123,1096,1037
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,178,132,202,278,161,138,143,121,106,117,116,97
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,245,269,389,432,327,236,202,197,193,193,214,188
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,85,75,103,120,102,60,76,78,52,68,55,63
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,448,352,361,537,509,346,281,244,272,245,238,202
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,32,36,40,87,51,22,22,31,16,35,26,16
