inec_provincia_id,provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre
01,Azuay,881394,-2.897414000000000,-79.00448100000000,505,479,524,598,599,480,480,392,137
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,110,94,148,145,111,76,84,85,38
04,Carchi,186869,0.8121800000000000,-77.71633000000000,151,73,96,105,113,103,98,75,29
03,Cañar,281396,-2.733333000000000,-78.83333300000000,139,132,168,151,155,112,131,105,33
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,317,264,335,378,367,281,273,223,77
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,278,273,264,311,316,235,211,175,57
07,El Oro,715751,-3.266667000000000,-79.96666700000000,442,465,496,707,535,377,326,334,116
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,174,190,293,271,238,185,169,149,55
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,12,6,11,8,6,4,4,7,1
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,2662,2461,3148,3731,2952,2182,2128,1904,823
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,273,237,250,327,359,239,226,182,83
11,Loja,521154,-3.983333000000000,-79.20000000000000,249,286,452,513,348,255,227,221,73
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,440,469,589,655,538,381,389,364,137
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,773,865,1142,1180,851,677,571,607,211
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,57,47,61,60,57,53,42,60,9
15,Napo,133705,-0.9890000000000000,-77.81590000000000,57,41,50,50,58,44,52,30,15
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,46,44,56,57,56,46,50,35,12
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,41,29,47,46,60,35,35,32,13
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1828,1625,1933,2481,2276,1645,1678,1302,531
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,178,131,200,273,161,136,139,118,39
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,245,268,389,430,324,236,201,194,70
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,84,75,103,120,100,58,76,78,20
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,447,351,361,534,509,344,280,236,107
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,32,36,40,86,51,22,22,30,5
