inec_provincia_id,provincia,poblacion,lat,lng,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020
1,Azuay,881394,-2.8974140000000004,-79.004481,13,8,8,9,12,12,8,9,8,7,8,5,5,7,6
2,Bolívar,209933,-1.6055560000000002,-79.003056,4,3,0,1,2,2,2,2,4,3,2,5,3,2,0
4,Carchi,186869,0.81218,-77.71633,3,0,2,1,0,5,3,2,0,1,1,2,1,0,0
3,Cañar,281396,-2.733333,-78.833333,0,8,4,4,5,7,2,0,2,2,4,1,3,1,0
6,Chimborazo,524004,-1.674347,-78.648294,9,11,6,5,4,9,7,7,7,10,3,6,9,7,2
5,Cotopaxi,488716,-0.933333,-78.616667,5,5,4,5,4,5,6,2,3,3,4,3,8,0,2
7,El Oro,715751,-3.2666670000000004,-79.966667,17,15,12,18,11,19,12,12,15,27,22,10,19,8,3
8,Esmeraldas,591083,1.05,-79.2,10,2,5,4,11,8,6,3,1,7,5,9,4,1,1
20,Galápagos,33042,-0.7999999999999999,-89.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Guayas,4387434,-2.183333,-79.883333,246,235,202,228,222,176,167,150,133,136,122,130,116,97,38
10,Imbabura,476257,0.362678,-78.130667,5,5,4,5,4,9,6,3,2,2,3,6,5,4,3
11,Loja,521154,-3.9833330000000005,-79.2,3,5,2,8,6,2,6,5,5,2,5,3,2,3,1
12,Los Ríos,921763,-1.8,-79.533333,19,22,15,25,20,15,17,17,19,20,11,7,8,8,2
13,Manabí,1562079,-1.056181,-80.455217,48,37,46,55,61,52,42,32,39,42,37,40,33,24,7
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,1,3,2,1,0,2,2,0,0,1,0,0,1,0,0
15,Napo,133705,-0.989,-77.8159,0,2,3,1,1,2,2,1,0,0,0,2,0,1,2
22,Orellana,161338,-0.466667,-76.966667,0,1,1,1,3,1,1,0,1,0,0,0,0,1,0
16,Pastaza,114202,-1.066667,-78.001111,0,1,0,2,0,2,0,1,0,0,3,1,0,0,0
17,Pichincha,3228233,-0.218611,-78.509722,43,40,32,28,54,40,42,32,49,40,41,41,50,41,19
24,Santa Elena,401178,-2.2267,-80.8583,35,25,22,34,18,20,18,14,20,16,16,15,15,8,2
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,6,6,7,7,12,11,3,8,10,4,9,5,7,8,1
21,Sucumbíos,230503,0.08472200000000002,-76.882778,0,2,0,5,2,0,2,0,2,3,1,2,0,1,0
18,Tungurahua,590600,-1.241667,-78.619722,7,11,12,5,10,14,5,12,9,4,11,5,10,7,2
19,Zamora Chinchipe,120416,-4.12,-78.8,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0
