inec_provincia_id,provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38
01,Azuay,881394,-2.897414000000000,-79.00448100000000,109,234,348,455,571,692,802,934,1040,1151,1277,1411,1526,1652,1793,1940,2100,2254,2403,2530,2633,2740,2870,2981,3086,3199,3313,3418,3525,3631,3730,3829,3910,3995,4069,4149,4214,4226
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,20,60,87,103,127,144,174,197,221,250,291,327,363,403,441,465,498,529,547,571,600,619,637,649,670,690,713,727,742,765,778,796,807,837,864,885,900,902
04,Carchi,186869,0.8121800000000000,-77.71633000000000,28,66,101,135,155,174,189,208,220,243,272,295,312,342,358,381,419,452,471,491,517,540,562,593,616,639,666,689,709,726,740,754,778,794,810,826,841,848
03,Cañar,281396,-2.733333000000000,-78.83333300000000,32,70,103,127,169,202,232,259,293,338,375,417,445,484,524,559,590,621,658,702,732,756,779,811,838,859,888,923,950,984,1013,1040,1058,1086,1103,1119,1137,1140
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,85,151,228,292,357,431,490,556,629,704,776,858,934,1019,1106,1206,1292,1397,1486,1553,1629,1705,1759,1831,1890,1948,2006,2085,2149,2200,2256,2302,2350,2405,2454,2500,2530,2533
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,59,129,185,253,325,400,464,526,584,634,700,770,829,898,979,1053,1127,1195,1274,1342,1407,1466,1524,1574,1631,1682,1729,1777,1830,1871,1911,1953,1993,2028,2062,2090,2132,2139
07,El Oro,715751,-3.266667000000000,-79.96666700000000,81,182,286,402,522,636,747,867,966,1070,1189,1314,1456,1613,1756,1945,2116,2260,2385,2489,2584,2693,2783,2863,2941,3035,3100,3191,3239,3320,3401,3465,3539,3623,3692,3757,3825,3838
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,32,69,118,159,204,247,298,350,407,468,541,617,681,738,809,880,930,996,1058,1105,1149,1193,1238,1283,1333,1371,1409,1447,1476,1525,1558,1598,1634,1657,1691,1725,1752,1759
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,4,6,11,11,12,13,15,17,21,24,26,28,29,30,32,34,38,39,40,42,42,42,44,46,46,46,47,48,50,50,51,53,56,56,58,58,59,60
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,554,1179,1802,2430,3000,3620,4258,4891,5514,6194,6908,7685,8488,9371,10269,11171,12013,12804,13452,14082,14639,15140,15647,16173,16698,17202,17705,18178,18659,19108,19545,19958,20369,20830,21272,21700,22100,22185
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,60,117,179,252,318,380,431,489,535,585,636,700,773,826,909,994,1095,1176,1280,1345,1414,1472,1542,1594,1647,1692,1755,1802,1848,1900,1946,1982,2019,2060,2108,2161,2197,2206
11,Loja,521154,-3.983333000000000,-79.20000000000000,50,102,168,230,305,379,460,516,594,682,801,908,1033,1142,1274,1398,1516,1608,1692,1753,1821,1882,1952,2002,2073,2116,2166,2214,2259,2323,2369,2410,2462,2520,2574,2614,2658,2663
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,92,191,301,401,522,628,743,871,1000,1144,1252,1384,1545,1710,1861,2014,2157,2292,2419,2535,2644,2750,2838,2928,3011,3080,3200,3275,3364,3436,3516,3596,3673,3765,3840,3923,4002,4009
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,153,329,517,692,909,1102,1322,1557,1765,2002,2307,2577,2876,3168,3442,3707,3937,4163,4350,4543,4706,4877,5035,5177,5335,5469,5623,5756,5889,6006,6128,6271,6417,6549,6682,6796,6923,6948
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,12,21,34,49,59,81,88,96,109,124,132,147,164,177,195,208,221,231,243,259,272,283,290,309,321,335,344,354,362,371,389,404,414,425,435,440,444,444
15,Napo,133705,-0.9890000000000000,-77.81590000000000,14,20,35,51,55,64,81,92,102,117,128,138,148,161,174,186,197,206,217,233,246,261,275,286,294,306,321,332,339,348,354,364,370,375,382,392,400,401
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,11,22,33,41,54,64,77,85,95,105,124,136,149,163,175,184,204,222,239,246,254,263,275,286,295,306,311,325,333,353,362,366,374,384,390,398,405,405
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,2,10,23,36,43,48,54,65,73,86,100,110,116,125,137,146,162,183,194,206,217,224,236,243,251,259,265,274,282,289,296,304,311,320,326,334,341,341
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,374,766,1235,1671,2091,2497,2904,3297,3710,4134,4560,5015,5525,6050,6621,7261,7875,8440,8956,9471,9935,10337,10720,11098,11478,11862,12237,12637,12995,13367,13669,13987,14272,14537,14821,15106,15371,15419
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,38,80,125,167,206,235,268,298,343,374,426,479,530,596,667,736,780,822,859,888,929,962,996,1027,1055,1088,1115,1155,1184,1214,1238,1261,1285,1319,1347,1365,1385,1393
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,56,120,172,223,286,345,413,491,563,650,747,827,935,1056,1137,1250,1339,1415,1493,1571,1629,1682,1740,1797,1847,1894,1939,1975,2023,2078,2126,2174,2213,2259,2291,2333,2377,2383
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,18,42,61,76,90,103,124,151,167,186,218,248,271,298,327,356,379,408,431,459,474,479,493,511,527,534,547,565,583,611,632,649,668,684,699,709,719,719
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,105,201,336,417,512,602,686,769,837,923,1008,1091,1177,1285,1419,1556,1699,1846,1965,2058,2161,2239,2330,2410,2484,2561,2631,2679,2748,2804,2864,2909,2964,3018,3079,3139,3209,3215
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,7,19,26,30,38,46,58,66,70,79,90,98,112,139,158,180,198,212,223,231,244,250,254,263,265,269,276,276,283,290,296,304,312,315,323,324,325,326
