provincia,poblacion,lat,lng,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021
Azuay,881394,-2.897414000000000,-79.00448100000000,17,12,20,15,15,18,9,19,18,15,17,15,18,20,13,17,24,12,21,15,18,14,13,21,11,15,24,16,11,14,15,19,17,12,18,19,20,9,23,13,11,18,14,18,20,20,18,16,14,11,17,13,19,44,14,14,16,9,16,16,16,15,12,12,22,10,13,18,16,10,14,14,21,23,12,12,19,14,21,22,18,18,20,17,13,18,21,17,19,9,17,11,13,23,19,12,14,24,16,16,18,12,20,7,16,8,2,0
Bolívar,209933,-1.605556000000000,-79.00305600000000,5,2,0,3,2,4,2,3,0,6,3,3,2,8,5,2,17,5,5,5,3,1,4,4,1,4,2,1,1,3,3,5,2,4,4,2,4,3,4,1,3,2,3,1,3,3,4,4,1,3,6,9,3,4,5,3,2,2,4,3,1,5,4,4,1,5,6,4,3,7,1,6,2,8,4,2,8,4,6,9,4,3,6,5,7,4,3,6,10,3,3,4,6,3,5,5,5,6,2,6,8,7,2,4,6,2,1,0
Carchi,186869,0.8121800000000000,-77.71633000000000,5,4,7,2,2,1,6,8,3,5,6,5,6,6,8,4,3,9,3,2,5,6,4,6,8,5,5,4,4,5,3,2,5,2,3,6,2,0,2,2,4,5,3,1,2,2,1,5,0,3,1,3,0,2,3,3,4,2,5,2,1,1,2,1,1,4,2,4,2,2,3,6,4,6,1,5,4,1,3,7,5,4,2,4,2,2,3,2,3,3,2,3,2,1,3,7,5,3,4,3,3,1,2,1,2,0,0,0
Cañar,281396,-2.733333000000000,-78.83333300000000,4,4,4,2,8,5,9,0,3,5,4,3,5,8,10,4,3,4,3,4,6,3,7,5,6,3,2,4,1,1,7,3,4,6,8,10,2,6,0,8,2,9,6,5,3,3,4,3,3,7,5,4,6,3,2,3,4,7,2,2,4,6,4,9,1,6,2,9,5,11,8,5,4,3,2,10,7,7,3,4,5,2,9,7,3,6,8,1,3,4,2,4,5,5,3,5,3,3,7,4,4,7,1,0,3,1,0,0
Chimborazo,524004,-1.674347000000000,-78.64829400000001,9,8,8,9,15,9,13,17,13,7,8,5,8,11,10,12,12,15,12,6,8,17,8,10,9,4,8,15,8,10,8,11,9,8,9,10,7,11,9,10,10,13,10,4,16,8,3,11,10,12,7,7,9,12,8,12,6,8,10,6,12,10,5,14,17,5,16,8,12,7,5,11,13,16,9,9,12,9,11,3,12,13,14,6,8,10,10,10,9,13,11,11,10,9,17,18,9,11,9,11,6,6,9,8,16,3,2,0
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,13,5,6,7,5,8,8,8,8,13,18,9,12,10,4,9,7,5,4,4,11,9,10,11,5,15,6,11,5,11,15,11,14,5,12,14,6,10,12,12,14,8,14,8,6,10,6,13,10,13,4,8,6,17,8,14,2,7,7,9,5,6,13,11,6,8,7,3,9,4,7,7,10,8,7,11,7,10,12,10,10,13,8,7,8,11,11,6,7,6,9,8,11,11,9,12,14,12,6,5,7,23,8,6,10,9,0,0
El Oro,715751,-3.266667000000000,-79.96666700000000,19,10,11,7,10,9,13,17,12,13,9,16,16,10,12,20,17,10,14,15,20,13,15,16,14,14,21,15,22,15,13,18,11,20,17,13,16,22,16,19,12,22,12,17,15,14,16,13,17,14,19,15,13,17,17,11,16,17,26,13,11,11,9,17,16,20,13,15,13,14,8,18,19,26,12,11,20,10,21,13,15,17,12,16,19,19,22,11,19,13,24,22,16,23,26,14,17,23,21,22,23,25,11,18,13,8,0,0
Esmeraldas,591083,1.050000000000000,-79.20000000000000,6,4,5,6,2,5,5,3,2,4,7,9,3,6,3,4,5,7,4,10,5,9,3,9,7,4,4,5,2,7,10,6,4,5,9,4,2,9,8,3,6,8,5,6,6,9,6,8,3,5,5,6,9,4,7,10,4,8,8,4,7,7,6,11,9,9,7,7,6,5,10,11,11,14,6,11,9,9,12,8,23,7,9,11,3,10,9,11,6,8,10,5,6,10,7,10,9,6,8,5,7,8,10,1,6,2,0,0
Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Guayas,4387434,-2.183333000000000,-79.88333299999999,77,77,74,68,91,72,84,74,92,73,101,78,87,87,85,82,103,76,85,86,97,97,97,84,92,91,109,90,81,88,71,71,95,78,72,75,90,88,89,96,73,87,78,90,104,86,97,86,90,91,100,80,78,112,92,90,78,99,82,106,84,88,85,84,89,84,98,110,84,102,85,94,99,89,92,104,101,110,104,104,114,95,102,113,111,117,113,121,121,105,120,111,112,96,121,132,122,137,105,125,122,137,99,139,119,105,74,17
Imbabura,476257,0.3626780000000000,-78.13066700000000,9,5,7,11,5,7,10,7,11,9,8,6,9,11,9,7,7,9,9,8,12,9,9,5,10,7,14,6,10,13,13,9,13,9,8,6,11,10,5,7,15,7,6,9,13,8,5,13,8,3,7,7,9,9,4,8,12,9,6,11,8,6,5,4,8,4,8,4,9,6,6,7,8,8,5,7,6,8,9,7,10,9,12,8,11,9,4,11,13,14,6,6,10,12,4,3,9,9,10,8,7,7,10,10,8,6,2,0
Loja,521154,-3.983333000000000,-79.20000000000000,6,6,7,11,9,10,7,5,5,3,11,4,7,10,8,8,3,5,11,9,17,9,7,7,10,10,6,4,4,9,16,13,13,7,11,8,13,8,15,6,12,5,17,9,9,17,12,10,10,12,12,6,6,8,3,10,7,5,16,13,9,8,9,7,14,16,7,15,15,8,13,11,11,11,9,13,16,13,20,20,16,15,9,19,13,15,11,15,15,22,17,13,19,13,18,11,21,13,13,5,11,21,10,7,11,4,0,0
Los Ríos,921763,-1.800000000000000,-79.53333300000000,13,20,5,18,13,16,12,8,14,11,15,7,12,16,19,11,17,7,16,16,15,22,17,14,23,12,12,15,10,17,8,22,21,14,12,15,15,18,13,18,16,10,13,17,15,11,23,14,16,20,10,18,23,24,12,17,16,14,18,19,17,17,18,17,15,23,23,19,16,18,21,18,21,25,12,12,13,13,17,11,14,23,15,23,14,8,24,24,24,21,18,23,17,19,22,28,25,27,16,20,15,17,17,12,19,7,0,0
