provincia,poblacion,total,nuevas,lat,lng,created_at
Azuay,881394,29985,41,-2.897414000000000,-79.00448100000000,01/01/2022
Bolívar,209933,7701,21,-1.605556000000000,-79.00305600000000,01/01/2022
Carchi,186869,10096,6,0.8121800000000000,-77.71633000000000,01/01/2022
Cañar,281396,7108,50,-2.733333000000000,-78.83333300000000,01/01/2022
Chimborazo,524004,9755,36,-1.674347000000000,-78.64829400000001,01/01/2022
Cotopaxi,488716,12927,59,-0.9333330000000000,-78.61666700000001,01/01/2022
El Oro,715751,26048,92,-3.266667000000000,-79.96666700000000,01/01/2022
Esmeraldas,591083,10392,29,1.050000000000000,-79.20000000000000,01/01/2022
Galápagos,33042,1554,1,-0.7999999999999999,-89.40000000000001,01/01/2022
Guayas,4387434,79303,724,-2.183333000000000,-79.88333299999999,01/01/2022
Imbabura,476257,18241,42,0.3626780000000000,-78.13066700000000,01/01/2022
Loja,521154,19084,52,-3.983333000000000,-79.20000000000000,01/01/2022
Los Ríos,921763,13859,40,-1.800000000000000,-79.53333300000000,01/01/2022
Manabí,1562079,37295,193,-1.056181000000000,-80.45521700000000,01/01/2022
Morona Santiago,196535,7488,18,-2.300000000000000,-78.11666700000001,01/01/2022
Napo,133705,4631,22,-0.9890000000000000,-77.81590000000000,01/01/2022
Orellana,161338,4224,0,-0.4666670000000000,-76.96666700000000,01/01/2022
Pastaza,114202,3934,6,-1.066667000000000,-78.00111099999999,01/01/2022
Pichincha,3228233,203054,626,-0.2186110000000000,-78.50972200000000,01/01/2022
Santa Elena,401178,4729,13,-2.226700000000000,-80.85830000000000,01/01/2022
Sto. Domingo Tsáchilas,511151,13256,36,-0.2541670000000000,-79.17194400000000,01/01/2022
Sucumbíos,230503,6834,28,0.08472200000000002,-76.88277800000000,01/01/2022
Tungurahua,590600,16842,92,-1.241667000000000,-78.61972200000000,01/01/2022
Zamora Chinchipe,120416,3280,5,-4.120000000000000,-78.80000000000000,01/01/2022
