inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,semana
01,Azuay,881394,14164,395,-2.897414000000000,-79.00448100000000,1
02,Bolívar,209933,2604,57,-1.605556000000000,-79.00305600000000,1
04,Carchi,186869,3860,147,0.8121800000000000,-77.71633000000000,1
03,Cañar,281396,2946,55,-2.733333000000000,-78.83333300000000,1
06,Chimborazo,524004,3505,218,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,488716,5980,220,-0.9333330000000000,-78.61666700000001,1
07,El Oro,715751,8872,434,-3.266667000000000,-79.96666700000000,1
08,Esmeraldas,591083,5130,70,1.050000000000000,-79.20000000000000,1
20,Galápagos,33042,989,67,-0.7999999999999999,-89.40000000000001,1
09,Guayas,4387434,28738,1108,-2.183333000000000,-79.88333299999999,1
10,Imbabura,476257,6336,202,0.3626780000000000,-78.13066700000000,1
11,Loja,521154,7835,166,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,921763,5128,175,-1.800000000000000,-79.53333300000000,1
13,Manabí,1562079,15629,497,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,196535,3828,107,-2.300000000000000,-78.11666700000001,1
15,Napo,133705,1750,56,-0.9890000000000000,-77.81590000000000,1
22,Orellana,161338,2131,13,-0.4666670000000000,-76.96666700000000,1
16,Pastaza,114202,2429,14,-1.066667000000000,-78.00111099999999,1
17,Pichincha,3228233,77763,1885,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,401178,2754,83,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,511151,6074,145,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,230503,3060,28,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,590600,7876,298,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,120416,1689,16,-4.120000000000000,-78.80000000000000,1
01,Azuay,881394,14737,573,-2.897414000000000,-79.00448100000000,2
02,Bolívar,209933,2703,99,-1.605556000000000,-79.00305600000000,2
04,Carchi,186869,4175,315,0.8121800000000000,-77.71633000000000,2
03,Cañar,281396,3106,160,-2.733333000000000,-78.83333300000000,2
06,Chimborazo,524004,3815,310,-1.674347000000000,-78.64829400000001,2
05,Cotopaxi,488716,6448,468,-0.9333330000000000,-78.61666700000001,2
07,El Oro,715751,9466,594,-3.266667000000000,-79.96666700000000,2
08,Esmeraldas,591083,5235,105,1.050000000000000,-79.20000000000000,2
20,Galápagos,33042,1138,149,-0.7999999999999999,-89.40000000000001,2
09,Guayas,4387434,29903,1165,-2.183333000000000,-79.88333299999999,2
10,Imbabura,476257,6796,460,0.3626780000000000,-78.13066700000000,2
11,Loja,521154,8250,415,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,921763,5404,276,-1.800000000000000,-79.53333300000000,2
13,Manabí,1562079,16337,708,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,196535,4002,174,-2.300000000000000,-78.11666700000001,2
15,Napo,133705,1825,75,-0.9890000000000000,-77.81590000000000,2
22,Orellana,161338,2157,26,-0.4666670000000000,-76.96666700000000,2
16,Pastaza,114202,2460,31,-1.066667000000000,-78.00111099999999,2
17,Pichincha,3228233,81130,3367,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,401178,2921,167,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,511151,6352,278,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,230503,3092,32,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,590600,8311,435,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,120416,1719,30,-4.120000000000000,-78.80000000000000,2
01,Azuay,881394,15337,600,-2.897414000000000,-79.00448100000000,3
02,Bolívar,209933,2865,162,-1.605556000000000,-79.00305600000000,3
04,Carchi,186869,4719,544,0.8121800000000000,-77.71633000000000,3
03,Cañar,281396,3313,207,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,524004,4074,259,-1.674347000000000,-78.64829400000001,3
05,Cotopaxi,488716,6837,389,-0.9333330000000000,-78.61666700000001,3
07,El Oro,715751,10011,545,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,591083,5361,126,1.050000000000000,-79.20000000000000,3
20,Galápagos,33042,1210,72,-0.7999999999999999,-89.40000000000001,3
09,Guayas,4387434,30849,946,-2.183333000000000,-79.88333299999999,3
10,Imbabura,476257,7176,380,0.3626780000000000,-78.13066700000000,3
11,Loja,521154,8616,366,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,921763,5711,307,-1.800000000000000,-79.53333300000000,3
13,Manabí,1562079,16916,579,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,196535,4111,109,-2.300000000000000,-78.11666700000001,3
15,Napo,133705,1888,63,-0.9890000000000000,-77.81590000000000,3
22,Orellana,161338,2166,9,-0.4666670000000000,-76.96666700000000,3
16,Pastaza,114202,2500,40,-1.066667000000000,-78.00111099999999,3
17,Pichincha,3228233,84329,3199,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,401178,2979,58,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,511151,6609,257,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,230503,3183,91,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,590600,8775,464,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,120416,1757,38,-4.120000000000000,-78.80000000000000,3
01,Azuay,881394,15658,321,-2.897414000000000,-79.00448100000000,4
02,Bolívar,209933,2905,40,-1.605556000000000,-79.00305600000000,4
04,Carchi,186869,4928,209,0.8121800000000000,-77.71633000000000,4
03,Cañar,281396,3421,108,-2.733333000000000,-78.83333300000000,4
06,Chimborazo,524004,4143,69,-1.674347000000000,-78.64829400000001,4
05,Cotopaxi,488716,6972,135,-0.9333330000000000,-78.61666700000001,4
07,El Oro,715751,10162,151,-3.266667000000000,-79.96666700000000,4
08,Esmeraldas,591083,5382,21,1.050000000000000,-79.20000000000000,4
20,Galápagos,33042,1239,29,-0.7999999999999999,-89.40000000000001,4
09,Guayas,4387434,31321,472,-2.183333000000000,-79.88333299999999,4
10,Imbabura,476257,7367,191,0.3626780000000000,-78.13066700000000,4
11,Loja,521154,8886,270,-3.983333000000000,-79.20000000000000,4
12,Los Ríos,921763,5876,165,-1.800000000000000,-79.53333300000000,4
13,Manabí,1562079,17261,345,-1.056181000000000,-80.45521700000000,4
14,Morona Santiago,196535,4159,48,-2.300000000000000,-78.11666700000001,4
