inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,semana
01,Azuay,881394,14164,395,-2.897414000000000,-79.00448100000000,1
02,Bolívar,209933,2604,57,-1.605556000000000,-79.00305600000000,1
04,Carchi,186869,3860,147,0.8121800000000000,-77.71633000000000,1
03,Cañar,281396,2946,55,-2.733333000000000,-78.83333300000000,1
06,Chimborazo,524004,3505,218,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,488716,5980,220,-0.9333330000000000,-78.61666700000001,1
07,El Oro,715751,8872,434,-3.266667000000000,-79.96666700000000,1
08,Esmeraldas,591083,5130,70,1.050000000000000,-79.20000000000000,1
20,Galápagos,33042,989,67,-0.7999999999999999,-89.40000000000001,1
09,Guayas,4387434,28738,1108,-2.183333000000000,-79.88333299999999,1
10,Imbabura,476257,6336,202,0.3626780000000000,-78.13066700000000,1
11,Loja,521154,7835,166,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,921763,5128,175,-1.800000000000000,-79.53333300000000,1
13,Manabí,1562079,15629,497,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,196535,3828,107,-2.300000000000000,-78.11666700000001,1
15,Napo,133705,1750,56,-0.9890000000000000,-77.81590000000000,1
22,Orellana,161338,2131,13,-0.4666670000000000,-76.96666700000000,1
16,Pastaza,114202,2429,14,-1.066667000000000,-78.00111099999999,1
17,Pichincha,3228233,77763,1885,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,401178,2754,83,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,511151,6074,145,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,230503,3060,28,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,590600,7876,298,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,120416,1689,16,-4.120000000000000,-78.80000000000000,1
01,Azuay,881394,14737,573,-2.897414000000000,-79.00448100000000,2
02,Bolívar,209933,2703,99,-1.605556000000000,-79.00305600000000,2
04,Carchi,186869,4175,315,0.8121800000000000,-77.71633000000000,2
03,Cañar,281396,3106,160,-2.733333000000000,-78.83333300000000,2
06,Chimborazo,524004,3815,310,-1.674347000000000,-78.64829400000001,2
05,Cotopaxi,488716,6448,468,-0.9333330000000000,-78.61666700000001,2
07,El Oro,715751,9466,594,-3.266667000000000,-79.96666700000000,2
08,Esmeraldas,591083,5235,105,1.050000000000000,-79.20000000000000,2
20,Galápagos,33042,1138,149,-0.7999999999999999,-89.40000000000001,2
09,Guayas,4387434,29903,1165,-2.183333000000000,-79.88333299999999,2
10,Imbabura,476257,6796,460,0.3626780000000000,-78.13066700000000,2
11,Loja,521154,8250,415,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,921763,5404,276,-1.800000000000000,-79.53333300000000,2
13,Manabí,1562079,16337,708,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,196535,4002,174,-2.300000000000000,-78.11666700000001,2
15,Napo,133705,1825,75,-0.9890000000000000,-77.81590000000000,2
22,Orellana,161338,2157,26,-0.4666670000000000,-76.96666700000000,2
16,Pastaza,114202,2460,31,-1.066667000000000,-78.00111099999999,2
17,Pichincha,3228233,81130,3367,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,401178,2921,167,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,511151,6352,278,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,230503,3092,32,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,590600,8311,435,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,120416,1719,30,-4.120000000000000,-78.80000000000000,2
01,Azuay,881394,14847,110,-2.897414000000000,-79.00448100000000,3
02,Bolívar,209933,2727,24,-1.605556000000000,-79.00305600000000,3
04,Carchi,186869,4184,9,0.8121800000000000,-77.71633000000000,3
03,Cañar,281396,3132,26,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,524004,3827,12,-1.674347000000000,-78.64829400000001,3
05,Cotopaxi,488716,6464,16,-0.9333330000000000,-78.61666700000001,3
07,El Oro,715751,9584,118,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,591083,5238,3,1.050000000000000,-79.20000000000000,3
20,Galápagos,33042,1148,10,-0.7999999999999999,-89.40000000000001,3
09,Guayas,4387434,30102,199,-2.183333000000000,-79.88333299999999,3
10,Imbabura,476257,6845,49,0.3626780000000000,-78.13066700000000,3
11,Loja,521154,8287,37,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,921763,5438,34,-1.800000000000000,-79.53333300000000,3
13,Manabí,1562079,16415,78,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,196535,4005,3,-2.300000000000000,-78.11666700000001,3
15,Napo,133705,1838,13,-0.9890000000000000,-77.81590000000000,3
22,Orellana,161338,2157,0,-0.4666670000000000,-76.96666700000000,3
16,Pastaza,114202,2461,1,-1.066667000000000,-78.00111099999999,3
17,Pichincha,3228233,81323,193,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,401178,2938,17,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,511151,6357,5,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,230503,3138,46,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,590600,8392,81,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,120416,1721,2,-4.120000000000000,-78.80000000000000,3
