inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,nuevas,lat,lng,mes
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,747,170,-3.050000000000000,-79.73333300000000,1
01,Azuay,881394,0111,Chordeleg,15176,284,55,-2.933333000000000,-78.76666700000000,1
01,Azuay,881394,0101,Cuenca,636996,26085,2931,-2.897414000000000,-79.00448100000000,1
01,Azuay,881394,0112,El Pan,3091,202,40,-2.786111000000000,-78.66500000000001,1
01,Azuay,881394,0102,Girón,13037,438,35,-3.159028000000000,-79.14756800000001,1
01,Azuay,881394,0114,Guachapala,3859,343,41,-2.769000000000000,-78.70900000000000,1
01,Azuay,881394,0103,Gualaceo,49104,1477,221,-2.900000000000000,-78.78333300000000,1
01,Azuay,881394,0104,Nabón,17292,261,66,-3.336060000000000,-79.06368000000001,1
01,Azuay,881394,0110,Oña,4128,82,33,-3.469640000000000,-79.15431000000000,1
01,Azuay,881394,0105,Paute,29214,1597,225,-2.781800000000000,-78.76000000000001,1
01,Azuay,881394,0106,Pucará,10584,179,30,-3.233780000000000,-79.46120000000001,1
01,Azuay,881394,0107,San Fernando,4156,158,39,-3.144500000000000,-79.25200000000000,1
01,Azuay,881394,0108,Santa Isabel,20935,1135,115,-3.274170000000000,-79.31560000000000,1
01,Azuay,881394,0113,Sevilla de Oro,6890,544,78,-2.799833000000000,-78.65569400000000,1
01,Azuay,881394,0109,Sígsig,30509,697,197,-3.089700000000000,-78.80320000000000,1
02,Bolívar,209933,0206,Caluma,16429,1478,464,-1.633330000000000,-79.25000000000000,1
02,Bolívar,209933,0202,Chillanes,16850,848,239,-1.933333000000000,-79.06666700000000,1
02,Bolívar,209933,0203,Chimbo,17378,798,281,-1.700000000000000,-79.01666700000000,1
02,Bolívar,209933,0204,Echeandía,14081,1219,249,-1.433330000000000,-79.26667000000000,1
02,Bolívar,209933,0201,Guaranda,108763,3827,787,-1.605556000000000,-79.00305600000000,1
02,Bolívar,209933,0207,Las Naves,7428,509,85,-1.283330000000000,-79.30000000000000,1
02,Bolívar,209933,0205,San Miguel,29004,1736,616,-1.700000000000000,-79.03333300000000,1
04,Carchi,186869,0402,Bolivar,15528,892,120,0.5070990000000000,-77.86245400000000,1
04,Carchi,186869,0403,Espejo,13817,929,130,0.6210000000000000,-77.94000000000000,1
04,Carchi,186869,0404,Mira,11969,967,151,0.5538999999999998,-78.04930000000000,1
04,Carchi,186869,0405,Montúfar,34229,2076,276,0.6100000000000000,-77.84000000000000,1
04,Carchi,186869,0406,San Pedro de Huaca,8931,641,48,0.6311110000000000,-77.72527800000000,1
04,Carchi,186869,0401,Tulcán,102395,6316,1001,0.8121800000000000,-77.71633000000000,1
03,Cañar,281396,0301,Azogues,86276,5940,2439,-2.733333000000000,-78.83333300000000,1
03,Cañar,281396,0302,Biblían,23741,1013,558,-2.710000000000000,-78.88000000000000,1
03,Cañar,281396,0303,Cañar,68747,2009,709,-2.483700000000000,-78.97839999999999,1
03,Cañar,281396,0306,Déleg,6782,172,60,-2.772600000000000,-78.91830000000000,1
03,Cañar,281396,0305,El Tambo,12462,519,144,-2.508100000000000,-78.92489999999999,1
03,Cañar,281396,0304,La Troncal,76872,1752,528,-2.400000000000000,-79.33000000000000,1
