inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,created_at
01,Azuay,881394,29985,32,-2.897414000000000,-79.00448100000000,01/01/2022
02,Bolívar,209933,7701,7,-1.605556000000000,-79.00305600000000,01/01/2022
04,Carchi,186869,10096,1,0.8121800000000000,-77.71633000000000,01/01/2022
03,Cañar,281396,7108,78,-2.733333000000000,-78.83333300000000,01/01/2022
06,Chimborazo,524004,9755,51,-1.674347000000000,-78.64829400000001,01/01/2022
05,Cotopaxi,488716,12927,39,-0.9333330000000000,-78.61666700000001,01/01/2022
07,El Oro,715751,26048,226,-3.266667000000000,-79.96666700000000,01/01/2022
08,Esmeraldas,591083,10392,16,1.050000000000000,-79.20000000000000,01/01/2022
20,Galápagos,33042,1554,3,-0.7999999999999999,-89.40000000000001,01/01/2022
09,Guayas,4387434,79303,805,-2.183333000000000,-79.88333299999999,01/01/2022
10,Imbabura,476257,18241,29,0.3626780000000000,-78.13066700000000,01/01/2022
11,Loja,521154,19084,76,-3.983333000000000,-79.20000000000000,01/01/2022
12,Los Ríos,921763,13859,54,-1.800000000000000,-79.53333300000000,01/01/2022
13,Manabí,1562079,37295,201,-1.056181000000000,-80.45521700000000,01/01/2022
14,Morona Santiago,196535,7488,9,-2.300000000000000,-78.11666700000001,01/01/2022
15,Napo,133705,4631,4,-0.9890000000000000,-77.81590000000000,01/01/2022
22,Orellana,161338,4224,3,-0.4666670000000000,-76.96666700000000,01/01/2022
16,Pastaza,114202,3934,2,-1.066667000000000,-78.00111099999999,01/01/2022
17,Pichincha,3228233,203054,448,-0.2186110000000000,-78.50972200000000,01/01/2022
24,Santa Elena,401178,4729,20,-2.226700000000000,-80.85830000000000,01/01/2022
23,Sto. Domingo Tsáchilas,511151,13256,30,-0.2541670000000000,-79.17194400000000,01/01/2022
21,Sucumbíos,230503,6834,6,0.08472200000000002,-76.88277800000000,01/01/2022
18,Tungurahua,590600,16842,60,-1.241667000000000,-78.61972200000000,01/01/2022
19,Zamora Chinchipe,120416,3280,2,-4.120000000000000,-78.80000000000000,01/01/2022
01,Azuay,881394,29995,10,-2.897414000000000,-79.00448100000000,02/01/2022
02,Bolívar,209933,7706,5,-1.605556000000000,-79.00305600000000,02/01/2022
04,Carchi,186869,10098,2,0.8121800000000000,-77.71633000000000,02/01/2022
03,Cañar,281396,7131,23,-2.733333000000000,-78.83333300000000,02/01/2022
06,Chimborazo,524004,9783,28,-1.674347000000000,-78.64829400000001,02/01/2022
05,Cotopaxi,488716,12940,13,-0.9333330000000000,-78.61666700000001,02/01/2022
07,El Oro,715751,26082,34,-3.266667000000000,-79.96666700000000,02/01/2022
08,Esmeraldas,591083,10395,3,1.050000000000000,-79.20000000000000,02/01/2022
20,Galápagos,33042,1557,3,-0.7999999999999999,-89.40000000000001,02/01/2022
09,Guayas,4387434,79412,109,-2.183333000000000,-79.88333299999999,02/01/2022
10,Imbabura,476257,18262,21,0.3626780000000000,-78.13066700000000,02/01/2022
11,Loja,521154,19101,17,-3.983333000000000,-79.20000000000000,02/01/2022
12,Los Ríos,921763,13870,11,-1.800000000000000,-79.53333300000000,02/01/2022
13,Manabí,1562079,37371,76,-1.056181000000000,-80.45521700000000,02/01/2022
14,Morona Santiago,196535,7491,3,-2.300000000000000,-78.11666700000001,02/01/2022
15,Napo,133705,4631,0,-0.9890000000000000,-77.81590000000000,02/01/2022
22,Orellana,161338,4231,7,-0.4666670000000000,-76.96666700000000,02/01/2022
16,Pastaza,114202,3935,1,-1.066667000000000,-78.00111099999999,02/01/2022
17,Pichincha,3228233,203331,277,-0.2186110000000000,-78.50972200000000,02/01/2022
24,Santa Elena,401178,4737,8,-2.226700000000000,-80.85830000000000,02/01/2022
23,Sto. Domingo Tsáchilas,511151,13286,30,-0.2541670000000000,-79.17194400000000,02/01/2022
21,Sucumbíos,230503,6836,2,0.08472200000000002,-76.88277800000000,02/01/2022
18,Tungurahua,590600,16861,19,-1.241667000000000,-78.61972200000000,02/01/2022
