provincia,poblacion,total,nuevas,lat,lng,semana
Azuay,881394,30160,165,-2.897414000000000,-79.00448100000000,1
Bolívar,209933,7938,232,-1.605556000000000,-79.00305600000000,1
Carchi,186869,10124,26,0.8121800000000000,-77.71633000000000,1
Cañar,281396,7393,262,-2.733333000000000,-78.83333300000000,1
Chimborazo,524004,9894,111,-1.674347000000000,-78.64829400000001,1
Cotopaxi,488716,13081,141,-0.9333330000000000,-78.61666700000001,1
El Oro,715751,26608,526,-3.266667000000000,-79.96666700000000,1
Esmeraldas,591083,10446,51,1.050000000000000,-79.20000000000000,1
Galápagos,33042,1579,22,-0.7999999999999999,-89.40000000000001,1
Guayas,4387434,82940,3528,-2.183333000000000,-79.88333299999999,1
Imbabura,476257,18387,125,0.3626780000000000,-78.13066700000000,1
Loja,521154,19276,175,-3.983333000000000,-79.20000000000000,1
Los Ríos,921763,14110,240,-1.800000000000000,-79.53333300000000,1
Manabí,1562079,38223,852,-1.056181000000000,-80.45521700000000,1
Morona Santiago,196535,7587,96,-2.300000000000000,-78.11666700000001,1
Napo,133705,4695,64,-0.9890000000000000,-77.81590000000000,1
Orellana,161338,4246,15,-0.4666670000000000,-76.96666700000000,1
Pastaza,114202,3956,21,-1.066667000000000,-78.00111099999999,1
Pichincha,3228233,205163,1832,-0.2186110000000000,-78.50972200000000,1
Santa Elena,401178,4837,100,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,511151,13334,48,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,230503,6867,31,0.08472200000000002,-76.88277800000000,1
Tungurahua,590600,17139,278,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,120416,3302,20,-4.120000000000000,-78.80000000000000,1
