provincia,poblacion,lat,lng,Enero,Febrero,Marzo
Azuay,881394,-2.897414000000000,-79.00448100000000,45,38,33
Bolívar,209933,-1.605556000000000,-79.00305600000000,4,6,4
Carchi,186869,0.8121800000000000,-77.71633000000000,44,21,20
Cañar,281396,-2.733333000000000,-78.83333300000000,6,3,4
Chimborazo,524004,-1.674347000000000,-78.64829400000001,42,12,11
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,32,45,9
El Oro,715751,-3.266667000000000,-79.96666700000000,62,90,52
Esmeraldas,591083,1.050000000000000,-79.20000000000000,6,20,35
Galápagos,33042,-0.8000000000000000,-89.40000000000001,4,0,1
Guayas,4387434,-2.183333000000000,-79.88333299999999,90,121,70
Imbabura,476257,0.3626780000000000,-78.13066700000000,17,27,22
Loja,521154,-3.983333000000000,-79.20000000000000,15,30,61
Los Ríos,921763,-1.800000000000000,-79.53333300000000,4,15,28
Manabí,1562079,-1.056181000000000,-80.45521700000000,115,161,204
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,3,2,7
Napo,133705,-0.9890000000000000,-77.81590000000000,2,4,6
Orellana,161338,-0.4666670000000000,-76.96666700000000,3,3,3
Pastaza,114202,-1.066667000000000,-78.00111099999999,4,0,6
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,83,188,187
Santa Elena,401178,-2.226700000000000,-80.85830000000000,22,3,0
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,40,47,62
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,10,1,14
Tungurahua,590600,-1.241667000000000,-78.61972200000000,49,42,5
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,2,2,10
