entierros,muertes_esperadas,exceso,created_at,registro_civil
58,37.6,20,21/03/2020,77
68,37.6,30,22/03/2020,90
82,37.6,44,23/03/2020,116
87,37.6,49,24/03/2020,182
100,37.6,62,25/03/2020,216
117,37.6,79,26/03/2020,283
145,37.6,107,27/03/2020,351
179,37.6,141,28/03/2020,440
185,37.6,147,29/03/2020,467
237,37.6,199,30/03/2020,519
255,37.6,217,31/03/2020,541
246,37.6,208,01/04/2020,648
279,37.6,241,02/04/2020,607
372,37.6,334,03/04/2020,635
419,37.6,381,04/04/2020,678
440,37.6,402,05/04/2020,588
502,37.6,464,06/04/2020,525
425,37.6,387,07/04/2020,546
492,37.6,454,08/04/2020,501
373,37.6,335,09/04/2020,477
412,37.6,374,10/04/2020,429
417,37.6,379,11/04/2020,405
333,37.6,295,12/04/2020,380
308,37.6,270,13/04/2020,357
280,37.6,242,14/04/2020,297
302,37.6,264,15/04/2020,282
219,37.6,181,16/04/2020,225
192,37.6,154,17/04/2020,219
159,37.6,121,18/04/2020,179
119,37.6,81,19/04/2020,204
150,37.6,112,20/04/2020,189
159,37.6,121,21/04/2020,162
144,37.6,106,22/04/2020,140
120,37.6,82,23/04/2020,132
130,37.6,92,24/04/2020,124
97,37.6,59,25/04/2020,136
106,37.6,68,26/04/2020,113
81,37.6,43,27/04/2020,115
113,37.6,75,28/04/2020,103
82,37.6,44,29/04/2020,105
73,37.6,35,30/04/2020,82
72,37.6,34,01/05/2020,95
80,37.6,42,02/05/2020,79
48,37.6,10,03/05/2020,87
71,37.6,33,04/05/2020,92
61,37.6,23,05/05/2020,71
61,37.6,23,06/05/2020,86
55,37.6,17,07/05/2020,69
55,37.6,17,08/05/2020,69
57,37.6,19,09/05/2020,70
38,37.6,0,10/05/2020,70
55,37.6,17,11/05/2020,72
65,37.6,27,12/05/2020,69
38,37.6,0,13/05/2020,61
56,37.6,18,14/05/2020,46
36,37.6,0,15/05/2020,62
40,37.6,2,16/05/2020,56
34,37.6,0,17/05/2020,53
30,37.6,0,18/05/2020,55
41,37.6,3,19/05/2020,52
32,37.6,0,20/05/2020,59
40,37.6,2,21/05/2020,50
40,37.6,2,22/05/2020,68
38,37.6,0,23/05/2020,44
38,37.6,0,24/05/2020,35
25,37.6,0,25/05/2020,55
38,37.6,0,26/05/2020,51
40,37.6,2,27/05/2020,29
31,37.6,0,28/05/2020,57
36,37.6,0,29/05/2020,52
38,37.6,0,30/05/2020,50
32,37.6,0,31/05/2020,44
32,37.6,0,01/06/2020,62
29,37.6,0,02/06/2020,35
34,37.6,0,03/06/2020,41
42,37.6,4,04/06/2020,56
24,37.6,0,05/06/2020,51
46,37.6,8,06/06/2020,41
27,37.6,0,07/06/2020,56
40,37.6,2,08/06/2020,49
51,37.6,13,09/06/2020,47
35,37.6,0,10/06/2020,60
45,37.6,7,11/06/2020,41
38,37.6,0,12/06/2020,50
35,37.6,0,13/06/2020,46
29,37.6,0,14/06/2020,43
28,37.6,0,15/06/2020,47
30,37.6,0,16/06/2020,47
31,37.6,0,17/06/2020,44
26,37.6,0,18/06/2020,42
35,37.6,0,19/06/2020,46
40,37.6,2,20/06/2020,55
20,37.6,0,21/06/2020,46
38,37.6,0,22/06/2020,45
45,37.6,7,23/06/2020,52
45,37.6,7,24/06/2020,47
31,37.6,0,25/06/2020,40
35,37.6,0,26/06/2020,47
30,37.6,0,27/06/2020,55
26,37.6,0,28/06/2020,47
38,37.6,0,29/06/2020,34
36,37.6,0,30/06/2020,38
36,37.6,0,01/07/2020,56
36,37.6,0,02/07/2020,65
44,37.6,6,03/07/2020,47
38,37.6,0,04/07/2020,50
40,37.6,2,05/07/2020,53
34,37.6,0,06/07/2020,39
31,37.6,0,07/07/2020,47
36,37.6,0,08/07/2020,52
29,37.6,0,09/07/2020,52
38,37.6,0,10/07/2020,48
30,37.6,0,11/07/2020,56
44,37.6,6,12/07/2020,54
53,37.6,15,13/07/2020,43
32,37.6,0,14/07/2020,47
41,37.6,3,15/07/2020,40
31,37.6,0,16/07/2020,35
24,37.6,0,17/07/2020,43
31,37.6,0,18/07/2020,53
37,37.6,0,19/07/2020,48
43,37.6,5,20/07/2020,43
27,37.6,0,21/07/2020,45
32,37.6,0,22/07/2020,55
32,37.6,0,23/07/2020,43
29,37.6,0,24/07/2020,56
36,37.6,0,25/07/2020,56
45,37.6,7,26/07/2020,38
25,37.6,0,27/07/2020,67
30,37.6,0,28/07/2020,45
28,37.6,0,29/07/2020,52
33,37.6,0,30/07/2020,55
37,37.6,0,31/07/2020,48
36,37.6,0,01/08/2020,62
31,37.6,0,02/08/2020,50
46,37.6,8,03/08/2020,68
44,37.6,6,04/08/2020,56
34,37.6,0,05/08/2020,40
34,37.6,0,06/08/2020,40
30,37.6,0,07/08/2020,55
41,37.6,3,08/08/2020,59
40,37.6,2,09/08/2020,52
32,37.6,0,10/08/2020,46
28,37.6,0,11/08/2020,52
29,37.6,0,12/08/2020,52
43,37.6,5,13/08/2020,50
24,37.6,0,14/08/2020,52
37,37.6,0,15/08/2020,49
35,37.6,0,16/08/2020,51
44,37.6,6,17/08/2020,56
36,37.6,0,18/08/2020,53
37,37.6,0,19/08/2020,47
27,37.6,0,20/08/2020,59
37,37.6,0,21/08/2020,57
44,37.6,6,22/08/2020,50
35,37.6,0,23/08/2020,56
33,37.6,0,24/08/2020,40
41,37.6,3,25/08/2020,52
30,37.6,0,26/08/2020,52
36,37.6,0,27/08/2020,45
24,37.6,0,28/08/2020,56
37,37.6,0,29/08/2020,58
37,37.6,0,30/08/2020,39
38,37.6,0,31/08/2020,48
25,37.6,0,01/09/2020,52
34,37.6,0,02/09/2020,46
35,37.6,0,03/09/2020,63
38,37.6,0,04/09/2020,47
32,37.6,0,05/09/2020,48
40,37.6,2,06/09/2020,49
40,37.6,2,07/09/2020,44
34,37.6,0,08/09/2020,58
28,37.6,0,09/09/2020,53
37,37.6,0,10/09/2020,45
41,37.6,3,11/09/2020,38
43,37.6,5,12/09/2020,47
29,37.6,0,13/09/2020,40
29,37.6,0,14/09/2020,38
36,37.6,0,15/09/2020,46
33,37.6,0,16/09/2020,45
26,37.6,0,17/09/2020,51
43,37.6,5,18/09/2020,55
29,37.6,0,19/09/2020,40
42,37.6,4,20/09/2020,44
34,37.6,0,21/09/2020,50
36,37.6,0,22/09/2020,57
34,37.6,0,23/09/2020,43
30,37.6,0,24/09/2020,50
41,37.6,3,25/09/2020,50
35,37.6,0,26/09/2020,52
30,37.6,0,27/09/2020,46
38,37.6,0,28/09/2020,46
40,37.6,2,29/09/2020,47
40,37.6,2,30/09/2020,50
33,37.6,0,01/10/2020,45
38,37.6,0,02/10/2020,46
31,37.6,0,03/10/2020,44
32,37.6,0,04/10/2020,60
34,37.6,0,05/10/2020,46
43,37.6,5,06/10/2020,52
45,37.6,7,07/10/2020,62
43,37.6,5,08/10/2020,49
37,37.6,0,09/10/2020,58
39,37.6,1,10/10/2020,38
24,37.6,0,11/10/2020,71
46,37.6,8,12/10/2020,64
65,37.6,27,13/10/2020,59
37,37.6,0,14/10/2020,52
46,37.6,8,15/10/2020,56
45,37.6,7,16/10/2020,57
38,37.6,0,17/10/2020,43
37,37.6,0,18/10/2020,48
28,37.6,0,19/10/2020,58
