inec_provincia_id,provincia,poblacion,total,lat,lng,created_at
01,Azuay,881394,21,-2.897414000000000,-79.00448100000000,01/01/2020
01,Azuay,881394,16,-2.897414000000000,-79.00448100000000,02/01/2020
01,Azuay,881394,14,-2.897414000000000,-79.00448100000000,03/01/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,04/01/2020
01,Azuay,881394,16,-2.897414000000000,-79.00448100000000,05/01/2020
01,Azuay,881394,13,-2.897414000000000,-79.00448100000000,06/01/2020
01,Azuay,881394,13,-2.897414000000000,-79.00448100000000,07/01/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,08/01/2020
01,Azuay,881394,15,-2.897414000000000,-79.00448100000000,09/01/2020
01,Azuay,881394,10,-2.897414000000000,-79.00448100000000,10/01/2020
01,Azuay,881394,9,-2.897414000000000,-79.00448100000000,11/01/2020
01,Azuay,881394,10,-2.897414000000000,-79.00448100000000,12/01/2020
01,Azuay,881394,5,-2.897414000000000,-79.00448100000000,13/01/2020
01,Azuay,881394,14,-2.897414000000000,-79.00448100000000,14/01/2020
01,Azuay,881394,9,-2.897414000000000,-79.00448100000000,15/01/2020
01,Azuay,881394,11,-2.897414000000000,-79.00448100000000,16/01/2020
01,Azuay,881394,14,-2.897414000000000,-79.00448100000000,17/01/2020
01,Azuay,881394,11,-2.897414000000000,-79.00448100000000,18/01/2020
01,Azuay,881394,8,-2.897414000000000,-79.00448100000000,19/01/2020
01,Azuay,881394,8,-2.897414000000000,-79.00448100000000,20/01/2020
01,Azuay,881394,9,-2.897414000000000,-79.00448100000000,21/01/2020
01,Azuay,881394,17,-2.897414000000000,-79.00448100000000,22/01/2020
01,Azuay,881394,7,-2.897414000000000,-79.00448100000000,23/01/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,24/01/2020
01,Azuay,881394,5,-2.897414000000000,-79.00448100000000,25/01/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,26/01/2020
01,Azuay,881394,10,-2.897414000000000,-79.00448100000000,27/01/2020
01,Azuay,881394,9,-2.897414000000000,-79.00448100000000,28/01/2020
01,Azuay,881394,16,-2.897414000000000,-79.00448100000000,29/01/2020
01,Azuay,881394,11,-2.897414000000000,-79.00448100000000,30/01/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,31/01/2020
01,Azuay,881394,10,-2.897414000000000,-79.00448100000000,01/02/2020
01,Azuay,881394,6,-2.897414000000000,-79.00448100000000,02/02/2020
01,Azuay,881394,17,-2.897414000000000,-79.00448100000000,03/02/2020
01,Azuay,881394,8,-2.897414000000000,-79.00448100000000,04/02/2020
01,Azuay,881394,9,-2.897414000000000,-79.00448100000000,05/02/2020
01,Azuay,881394,5,-2.897414000000000,-79.00448100000000,06/02/2020
01,Azuay,881394,7,-2.897414000000000,-79.00448100000000,07/02/2020
01,Azuay,881394,10,-2.897414000000000,-79.00448100000000,08/02/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,09/02/2020
01,Azuay,881394,4,-2.897414000000000,-79.00448100000000,10/02/2020
01,Azuay,881394,14,-2.897414000000000,-79.00448100000000,11/02/2020
01,Azuay,881394,8,-2.897414000000000,-79.00448100000000,12/02/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,13/02/2020
01,Azuay,881394,7,-2.897414000000000,-79.00448100000000,14/02/2020
01,Azuay,881394,11,-2.897414000000000,-79.00448100000000,15/02/2020
01,Azuay,881394,10,-2.897414000000000,-79.00448100000000,16/02/2020
01,Azuay,881394,14,-2.897414000000000,-79.00448100000000,17/02/2020
01,Azuay,881394,7,-2.897414000000000,-79.00448100000000,18/02/2020
01,Azuay,881394,22,-2.897414000000000,-79.00448100000000,19/02/2020
01,Azuay,881394,22,-2.897414000000000,-79.00448100000000,20/02/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,21/02/2020
01,Azuay,881394,11,-2.897414000000000,-79.00448100000000,22/02/2020
01,Azuay,881394,14,-2.897414000000000,-79.00448100000000,23/02/2020
01,Azuay,881394,19,-2.897414000000000,-79.00448100000000,24/02/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,25/02/2020
01,Azuay,881394,6,-2.897414000000000,-79.00448100000000,26/02/2020
01,Azuay,881394,11,-2.897414000000000,-79.00448100000000,27/02/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,28/02/2020
01,Azuay,881394,8,-2.897414000000000,-79.00448100000000,29/02/2020
01,Azuay,881394,9,-2.897414000000000,-79.00448100000000,01/03/2020
01,Azuay,881394,6,-2.897414000000000,-79.00448100000000,02/03/2020
01,Azuay,881394,19,-2.897414000000000,-79.00448100000000,03/03/2020
01,Azuay,881394,9,-2.897414000000000,-79.00448100000000,04/03/2020
01,Azuay,881394,16,-2.897414000000000,-79.00448100000000,05/03/2020
01,Azuay,881394,7,-2.897414000000000,-79.00448100000000,06/03/2020
01,Azuay,881394,11,-2.897414000000000,-79.00448100000000,07/03/2020
01,Azuay,881394,6,-2.897414000000000,-79.00448100000000,08/03/2020
01,Azuay,881394,10,-2.897414000000000,-79.00448100000000,09/03/2020
01,Azuay,881394,16,-2.897414000000000,-79.00448100000000,10/03/2020
01,Azuay,881394,12,-2.897414000000000,-79.00448100000000,11/03/2020
01,Azuay,881394,14,-2.897414000000000,-79.00448100000000,12/03/2020
01,Azuay,881394,14,-2.897414000000000,-79.00448100000000,13/03/2020
01,Azuay,881394,10,-2.897414000000000,-79.00448100000000,14/03/2020
01,Azuay,881394,9,-2.897414000000000,-79.00448100000000,15/03/2020
01,Azuay,881394,9,-2.897414000000000,-79.00448100000000,16/03/2020
