provincia,poblacion,total,acumuladas,lat,lng,mes
Azuay,881394,484,484,-2.897414000000000,-79.00448100000000,1
Bolívar,209933,106,106,-1.605556000000000,-79.00305600000000,1
Carchi,186869,149,149,0.8121800000000000,-77.71633000000000,1
Cañar,281396,131,131,-2.733333000000000,-78.83333300000000,1
Chimborazo,524004,306,306,-1.674347000000000,-78.64829400000001,1
Cotopaxi,488716,265,265,-0.9333330000000000,-78.61666700000001,1
El Oro,715751,411,411,-3.266667000000000,-79.96666700000000,1
Esmeraldas,591083,149,149,1.050000000000000,-79.20000000000000,1
Galápagos,33042,12,12,-0.7999999999999999,-89.40000000000001,1
Guayas,4387434,2610,2610,-2.183333000000000,-79.88333299999999,1
Imbabura,476257,259,259,0.3626780000000000,-78.13066700000000,1
Loja,521154,219,219,-3.983333000000000,-79.20000000000000,1
Los Ríos,921763,403,403,-1.800000000000000,-79.53333300000000,1
Manabí,1562079,728,728,-1.056181000000000,-80.45521700000000,1
Morona Santiago,196535,51,51,-2.300000000000000,-78.11666700000001,1
Napo,133705,52,52,-0.9890000000000000,-77.81590000000000,1
Orellana,161338,43,43,-0.4666670000000000,-76.96666700000000,1
Pastaza,114202,39,39,-1.066667000000000,-78.00111099999999,1
Pichincha,3228233,1811,1811,-0.2186110000000000,-78.50972200000000,1
Santa Elena,401178,162,162,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,511151,232,232,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,230503,77,77,0.08472200000000002,-76.88277800000000,1
Tungurahua,590600,439,439,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,120416,28,28,-4.120000000000000,-78.80000000000000,1
Azuay,881394,62,546,-2.897414000000000,-79.00448100000000,2
Bolívar,209933,15,121,-1.605556000000000,-79.00305600000000,2
Carchi,186869,13,162,0.8121800000000000,-77.71633000000000,2
Cañar,281396,20,151,-2.733333000000000,-78.83333300000000,2
Chimborazo,524004,33,339,-1.674347000000000,-78.64829400000001,2
Cotopaxi,488716,45,310,-0.9333330000000000,-78.61666700000001,2
El Oro,715751,60,471,-3.266667000000000,-79.96666700000000,2
Esmeraldas,591083,15,164,1.050000000000000,-79.20000000000000,2
Galápagos,33042,0,12,-0.7999999999999999,-89.40000000000001,2
Guayas,4387434,422,3032,-2.183333000000000,-79.88333299999999,2
Imbabura,476257,30,289,0.3626780000000000,-78.13066700000000,2
Loja,521154,32,251,-3.983333000000000,-79.20000000000000,2
Los Ríos,921763,60,463,-1.800000000000000,-79.53333300000000,2
Manabí,1562079,98,826,-1.056181000000000,-80.45521700000000,2
Morona Santiago,196535,7,58,-2.300000000000000,-78.11666700000001,2
Napo,133705,1,53,-0.9890000000000000,-77.81590000000000,2
Orellana,161338,1,44,-0.4666670000000000,-76.96666700000000,2
Pastaza,114202,5,44,-1.066667000000000,-78.00111099999999,2
Pichincha,3228233,311,2122,-0.2186110000000000,-78.50972200000000,2
Santa Elena,401178,18,180,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,511151,36,268,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,230503,9,86,0.08472200000000002,-76.88277800000000,2
Tungurahua,590600,50,489,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,120416,3,31,-4.120000000000000,-78.80000000000000,2
