inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,acumuladas,lat,lng,mes
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,2,2,-3.050000000000000,-79.73333300000000,1
01,Azuay,881394,0111,Chordeleg,15176,2,2,-2.933333000000000,-78.76666700000000,1
01,Azuay,881394,0101,Cuenca,636996,147,147,-2.897414000000000,-79.00448100000000,1
01,Azuay,881394,0112,El Pan,3091,0,0,-2.786111000000000,-78.66500000000001,1
01,Azuay,881394,0102,Girón,13037,5,5,-3.159028000000000,-79.14756800000001,1
01,Azuay,881394,0114,Guachapala,3859,0,0,-2.769000000000000,-78.70900000000000,1
01,Azuay,881394,0103,Gualaceo,49104,6,6,-2.900000000000000,-78.78333300000000,1
01,Azuay,881394,0104,Nabón,17292,5,5,-3.336060000000000,-79.06368000000001,1
01,Azuay,881394,0110,Oña,4128,0,0,-3.469640000000000,-79.15431000000000,1
01,Azuay,881394,0105,Paute,29214,2,2,-2.781800000000000,-78.76000000000001,1
01,Azuay,881394,0106,Pucará,10584,1,1,-3.233780000000000,-79.46120000000001,1
01,Azuay,881394,0107,San Fernando,4156,0,0,-3.144500000000000,-79.25200000000000,1
01,Azuay,881394,0108,Santa Isabel,20935,6,6,-3.274170000000000,-79.31560000000000,1
01,Azuay,881394,0113,Sevilla de Oro,6890,0,0,-2.799833000000000,-78.65569400000000,1
01,Azuay,881394,0109,Sígsig,30509,8,8,-3.089700000000000,-78.80320000000000,1
02,Bolívar,209933,0206,Caluma,16429,0,0,-1.633330000000000,-79.25000000000000,1
02,Bolívar,209933,0202,Chillanes,16850,5,5,-1.933333000000000,-79.06666700000000,1
02,Bolívar,209933,0203,Chimbo,17378,2,2,-1.700000000000000,-79.01666700000000,1
02,Bolívar,209933,0204,Echeandía,14081,4,4,-1.433330000000000,-79.26667000000000,1
02,Bolívar,209933,0201,Guaranda,108763,15,15,-1.605556000000000,-79.00305600000000,1
02,Bolívar,209933,0207,Las Naves,7428,2,2,-1.283330000000000,-79.30000000000000,1
02,Bolívar,209933,0205,San Miguel,29004,8,8,-1.700000000000000,-79.03333300000000,1
04,Carchi,186869,0402,Bolivar,15528,4,4,0.5070990000000000,-77.86245400000000,1
04,Carchi,186869,0403,Espejo,13817,3,3,0.6210000000000000,-77.94000000000000,1
04,Carchi,186869,0404,Mira,11969,2,2,0.5538999999999998,-78.04930000000000,1
04,Carchi,186869,0405,Montúfar,34229,6,6,0.6100000000000000,-77.84000000000000,1
04,Carchi,186869,0406,San Pedro de Huaca,8931,0,0,0.6311110000000000,-77.72527800000000,1
04,Carchi,186869,0401,Tulcán,102395,41,41,0.8121800000000000,-77.71633000000000,1
03,Cañar,281396,0301,Azogues,86276,24,24,-2.733333000000000,-78.83333300000000,1
03,Cañar,281396,0302,Biblían,23741,4,4,-2.710000000000000,-78.88000000000000,1
03,Cañar,281396,0303,Cañar,68747,5,5,-2.483700000000000,-78.97839999999999,1
03,Cañar,281396,0306,Déleg,6782,2,2,-2.772600000000000,-78.91830000000000,1
03,Cañar,281396,0305,El Tambo,12462,0,0,-2.508100000000000,-78.92489999999999,1
03,Cañar,281396,0304,La Troncal,76872,18,18,-2.400000000000000,-79.33000000000000,1
03,Cañar,281396,0307,Suscal,6516,0,0,-2.436400000000000,-79.05220000000000,1
06,Chimborazo,524004,0602,Alausí,45054,6,6,-2.200000000000000,-78.84999999999999,1
06,Chimborazo,524004,0604,Chambo,13378,4,4,-1.733333000000000,-78.58333300000000,1
06,Chimborazo,524004,0605,Chunchi,12795,7,7,-2.283333000000000,-78.91666700000000,1
06,Chimborazo,524004,0603,Colta,44838,11,11,-1.700000000000000,-78.75000000000000,1
06,Chimborazo,524004,0610,Cumandá,17973,2,2,-2.200000000000000,-79.13333299999999,1
06,Chimborazo,524004,0606,Guamote,58291,7,7,-1.933333000000000,-78.71666700000000,1
06,Chimborazo,524004,0607,Guano,48395,8,8,-1.583333000000000,-78.63333299999999,1
06,Chimborazo,524004,0608,Pallatanga,12277,0,0,-1.983333000000000,-78.95000000000000,1
06,Chimborazo,524004,0609,Penipe,6955,1,1,-1.557300000000000,-78.53959999999999,1
06,Chimborazo,524004,0601,Riobamba,264048,73,73,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,488716,0502,La Maná,56905,2,2,-0.9299999999999999,-79.22000000000000,1
05,Cotopaxi,488716,0501,Latacunga,205624,79,79,-0.9333330000000000,-78.61666700000001,1
05,Cotopaxi,488716,0503,Pangua,24612,4,4,-1.133333000000000,-79.06666700000000,1
05,Cotopaxi,488716,0504,Pujilí,79772,9,9,-0.9500000000000000,-78.69000000000000,1
05,Cotopaxi,488716,0505,Salcedo,67100,14,14,-1.050000000000000,-78.58333300000000,1
05,Cotopaxi,488716,0506,Saquisilí,31426,6,6,-0.8300000000000000,-78.67000000000000,1
05,Cotopaxi,488716,0507,Sigchos,23277,2,2,-0.7000000000000000,-78.88333299999999,1
07,El Oro,715751,0702,Arenillas,33473,3,3,-3.550000000000000,-80.06000000000000,1
07,El Oro,715751,0703,Atahualpa,6436,2,2,-2.900000000000000,-78.93333300000000,1
07,El Oro,715751,0704,Balsas,9233,0,0,-3.762600000000000,-79.82530000000000,1
07,El Oro,715751,0705,Chilla,2379,0,0,-3.450000000000000,-79.58000000000000,1
