inec_provincia_id,provincia,poblacion,lat,lng,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020
1,Azuay,881394,-2.8974140000000004,-79.004481,12,8,8,9,10,12,5,7,7,5,4
2,Bolívar,209933,-1.6055560000000002,-79.003056,4,3,0,1,2,1,2,2,2,1,0
4,Carchi,186869,0.81218,-77.71633,3,0,2,1,0,5,3,2,0,1,0
3,Cañar,281396,-2.733333,-78.833333,0,7,4,3,5,6,2,0,1,2,2
6,Chimborazo,524004,-1.674347,-78.648294,8,10,5,5,4,8,5,4,3,5,0
5,Cotopaxi,488716,-0.933333,-78.616667,5,5,4,5,4,5,6,1,2,1,1
7,El Oro,715751,-3.2666670000000004,-79.966667,16,14,10,18,10,17,9,10,4,3,1
8,Esmeraldas,591083,1.05,-79.2,10,2,4,3,10,7,4,2,0,2,1
20,Galápagos,33042,-0.7999999999999999,-89.4,0,0,0,0,0,0,0,0,0,0,0
9,Guayas,4387434,-2.183333,-79.883333,234,227,191,222,209,169,150,130,112,101,45
10,Imbabura,476257,0.362678,-78.130667,4,5,4,5,4,6,4,3,1,0,1
12,Los Ríos,921763,-1.8,-79.533333,38,38,26,46,38,18,24,20,12,10,6
13,Manabí,1562079,-1.056181,-80.455217,45,29,40,49,56,44,32,18,22,22,7
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,1,3,2,0,0,2,2,0,0,1,0
15,Napo,133705,-0.989,-77.8159,0,1,2,1,1,2,0,0,0,0,0
22,Orellana,161338,-0.466667,-76.966667,0,1,1,1,3,1,1,0,0,0,0
16,Pastaza,114202,-1.066667,-78.001111,0,1,0,2,0,1,0,1,0,0,1
17,Pichincha,3228233,-0.218611,-78.509722,43,40,32,27,54,40,41,32,47,38,18
24,Santa Elena,401178,-2.2267,-80.8583,32,23,21,30,16,17,14,11,15,9,4
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,6,6,7,7,11,10,3,6,8,3,4
21,Sucumbíos,230503,0.08472200000000002,-76.882778,0,2,0,5,2,0,2,0,1,1,1
18,Tungurahua,590600,-1.241667,-78.619722,7,11,12,5,10,14,4,9,8,2,5
19,Zamora Chinchipe,120416,-4.12,-78.8,0,0,0,0,0,0,0,2,0,0,0
