provincia,poblacion,lat,lng,Enero,Febrero
Azuay,881394,-2.897414000000000,-79.00448100000000,2441,607
Bolívar,209933,-1.605556000000000,-79.00305600000000,518,232
Carchi,186869,0.8121800000000000,-77.71633000000000,1445,240
Cañar,281396,-2.733333000000000,-78.83333300000000,698,214
Chimborazo,524004,-1.674347000000000,-78.64829400000001,1040,196
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,1507,367
El Oro,715751,-3.266667000000000,-79.96666700000000,2174,828
Esmeraldas,591083,1.050000000000000,-79.20000000000000,409,217
Galápagos,33042,-0.8000000000000000,-89.40000000000001,329,27
Guayas,4387434,-2.183333000000000,-79.88333299999999,4523,1449
Imbabura,476257,0.3626780000000000,-78.13066700000000,1460,573
Loja,521154,-3.983333000000000,-79.20000000000000,1472,411
Los Ríos,921763,-1.800000000000000,-79.53333300000000,1158,455
Manabí,1562079,-1.056181000000000,-80.45521700000000,2631,933
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,557,95
Napo,133705,-0.9890000000000000,-77.81590000000000,285,84
Orellana,161338,-0.4666670000000000,-76.96666700000000,88,71
Pastaza,114202,-1.066667000000000,-78.00111099999999,109,38
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,12191,4635
Santa Elena,401178,-2.226700000000000,-80.85830000000000,414,66
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,869,300
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,232,64
Tungurahua,590600,-1.241667000000000,-78.61972200000000,1641,541
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,125,46
