inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,mes
01,Azuay,881394,2,2,-2.897414000000000,-79.00448100000000,3
02,Bolívar,209933,0,0,-1.605556000000000,-79.00305600000000,3
04,Carchi,186869,0,0,0.8121800000000000,-77.71633000000000,3
03,Cañar,281396,2,2,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,524004,0,0,-1.674347000000000,-78.64829400000001,3
05,Cotopaxi,488716,1,1,-0.9333330000000000,-78.61666700000001,3
07,El Oro,715751,4,4,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,591083,0,0,1.050000000000000,-79.20000000000000,3
20,Galápagos,33042,0,0,-0.7999999999999999,-89.40000000000001,3
09,Guayas,4387434,52,52,-2.183333000000000,-79.88333299999999,3
10,Imbabura,476257,1,1,0.3626780000000000,-78.13066700000000,3
11,Loja,521154,0,0,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,921763,6,6,-1.800000000000000,-79.53333300000000,3
13,Manabí,1562079,1,1,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,196535,0,0,-2.300000000000000,-78.11666700000001,3
15,Napo,133705,0,0,-0.9890000000000000,-77.81590000000000,3
22,Orellana,161338,0,0,-0.4666670000000000,-76.96666700000000,3
16,Pastaza,114202,0,0,-1.066667000000000,-78.00111099999999,3
17,Pichincha,3228233,5,5,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,401178,4,4,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,511151,0,0,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,230503,1,1,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,590600,0,0,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,120416,0,0,-4.120000000000000,-78.80000000000000,3
01,Azuay,881394,15,13,-2.897414000000000,-79.00448100000000,4
02,Bolívar,209933,11,11,-1.605556000000000,-79.00305600000000,4
04,Carchi,186869,5,5,0.8121800000000000,-77.71633000000000,4
03,Cañar,281396,9,7,-2.733333000000000,-78.83333300000000,4
06,Chimborazo,524004,35,35,-1.674347000000000,-78.64829400000001,4
05,Cotopaxi,488716,19,18,-0.9333330000000000,-78.61666700000001,4
07,El Oro,715751,80,76,-3.266667000000000,-79.96666700000000,4
08,Esmeraldas,591083,19,19,1.050000000000000,-79.20000000000000,4
20,Galápagos,33042,1,1,-0.7999999999999999,-89.40000000000001,4
09,Guayas,4387434,380,328,-2.183333000000000,-79.88333299999999,4
10,Imbabura,476257,9,8,0.3626780000000000,-78.13066700000000,4
11,Loja,521154,10,10,-3.983333000000000,-79.20000000000000,4
12,Los Ríos,921763,38,32,-1.800000000000000,-79.53333300000000,4
13,Manabí,1562079,106,105,-1.056181000000000,-80.45521700000000,4
