vaccine,total,arrived_at,contract
Pfizer/BioNTech,8190,20/01/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,16380,17/02/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,17550,24/02/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,31590,03/03/2021,Government of Ecuador with Pfizer
Sinovac,20000,06/03/2021,Donation from the Government of Chile to the Government of Ecuador
Pfizer/BioNTech,73710,10/03/2021,Government of Ecuador with Pfizer
Oxford/AstraZeneca,84000,17/03/2021,Government of Ecuador with COVAX
Pfizer/BioNTech,62010,17/03/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,65520,24/03/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,66690,31/03/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,53820,05/04/2021,Government of Ecuador with Pfizer
Sinovac,300000,07/04/2021,Government of Ecuador with Sinovac
Sinovac,700000,10/04/2021,Government of Ecuador with Sinovac
Pfizer/BioNTech,53820,14/04/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,54990,21/04/2021,Government of Ecuador with Pfizer
Oxford/AstraZeneca,336000,24/04/2021,Government of Ecuador with COVAX
Pfizer/BioNTech,54990,28/04/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,100620,04/05/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,100689,11/05/2021,Government of Ecuador with Pfizer
Sinovac,3520,16/05/2021,Managed by Conmebol and donation by Sinovac
Pfizer/BioNTech,170820,18/05/2021,Government of Ecuador with Pfizer
Oxford/AstraZeneca,204000,22/05/2021,Government of Ecuador with AstraZeneca
Pfizer/BioNTech,170820,25/05/2021,Government of Ecuador with Pfizer
Sinovac,500000,29/05/2021,Government of Ecuador with Sinovac
Sinovac,200000,29/05/2021,Donation from the Government of China to the Government of Ecuador
Pfizer/BioNTech,107640,01/06/2021,Government of Ecuador with Pfizer
Oxford/AstraZeneca,204000,07/06/2021,Government of Ecuador with AstraZeneca
Pfizer/BioNTech,108810,08/06/2021,Government of Ecuador with Pfizer
Oxford/AstraZeneca,336000,11/06/2021,Government of Ecuador with COVAX
Pfizer/BioNTech,108810,15/06/2021,Government of Ecuador with Pfizer
Sinovac,500000,16/06/2021,Government of Ecuador with Sinovac
Oxford/AstraZeneca,206000,20/06/2021,Government of Ecuador with AstraZeneca
Pfizer/BioNTech,108810,22/06/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,108810,29/06/2021,Government of Ecuador with Pfizer
Pfizer/BioNTech,1000000,01/07/2021,Donation from United States Government
Sinovac,2000000,02/07/2021,Government of Ecuador with Sinovac
Sinovac,1500000,07/07/2021,Government of Ecuador with Sinovac
Pfizer/BioNTech,59670,07/07/2021,Government of Ecuador with Pfizer
Sinovac,500000,09/07/2021,Government of Ecuador with Sinovac
